sigma,mu,exp_H,error,acceptance
0.606561,0.784051,-0.441718,0.00167688,0.53373
0.606561,0.784051,-0.44177,0.00156374,0.539755
0.633151,0.811897,-0.443476,0.00210685,0.569695
0.633151,0.811897,-0.441577,0.00201665,0.573615
0.633151,0.811897,-0.440794,0.00188686,0.56304
0.604562,0.838022,-0.439224,0.00210983,0.55775
0.604562,0.838022,-0.437477,0.00197281,0.5376
0.595361,0.843964,-0.433354,0.00188584,0.552235
0.61363,0.820401,-0.442684,0.00175841,0.560995
0.588969,0.804774,-0.439943,0.00164134,0.54873
0.588969,0.804774,-0.44021,0.00176211,0.526465
0.588969,0.804774,-0.441847,0.00178646,0.52804
0.606062,0.816967,-0.444551,0.00176925,0.55979
0.602384,0.799891,-0.443493,0.00163228,0.55621
0.602384,0.799891,-0.444485,0.00166673,0.54774
0.602384,0.799891,-0.443983,0.00158909,0.5404
0.602107,0.828185,-0.44223,0.00193445,0.5578
0.62938,0.810791,-0.444974,0.00187344,0.56552
0.62938,0.810791,-0.441612,0.00192285,0.580065
0.62938,0.810791,-0.442793,0.00216546,0.564835
