sigma,mu,exp_H,error,acceptance
0.597124,0.901945,-0.399454,0.00256707,0.547755
0.597124,0.901945,-0.401562,0.00260727,0.50799
0.597124,0.901945,-0.400362,0.00220659,0.54755
0.597124,0.901945,-0.402299,0.00232693,0.530765
0.641651,0.860361,-0.422296,0.00285062,0.579195
0.668252,0.812647,-0.423941,0.00302238,0.57928
0.668252,0.812647,-0.424379,0.00303565,0.58249
0.668252,0.812647,-0.422506,0.00263993,0.57824
0.668252,0.812647,-0.419618,0.00338324,0.584445
0.690201,0.804711,-0.415339,0.00308598,0.580165
0.664861,0.824949,-0.424322,0.00267159,0.58174
0.702397,0.799756,-0.401188,0.00368985,0.57967
0.689485,0.83212,-0.405967,0.00370326,0.58797
0.689485,0.83212,-0.399311,0.00377697,0.6005
0.654165,0.849338,-0.421008,0.00268645,0.58117
0.655189,0.844003,-0.427065,0.00269221,0.581995
0.621973,0.849007,-0.435222,0.00192525,0.56678
0.581145,0.80737,-0.431361,0.001888,0.54477
0.587272,0.825649,-0.432785,0.00180064,0.54692
0.587272,0.825649,-0.433995,0.00179286,0.568505
