sigma,mu,exp_H,error,acceptance
0.727154,0.0819798,0.0126732,0.00515425,0.353745
1.07604,0.173829,-0.223547,0.00887899,0.49646
0.815201,0.453694,-0.258601,0.00351534,0.448095
0.995116,0.180745,-0.245632,0.00546896,0.469
0.692702,0.0615019,0.0794332,0.00580778,0.33833
0.692702,0.0615019,0.0814079,0.00521558,0.260495
1.01451,0.22025,-0.241874,0.00605309,0.47714
1.01451,0.22025,-0.244349,0.00605917,0.632625
0.487173,0.374891,0.194028,0.00578883,0.322
0.487173,0.374891,0.206598,0.00467481,0.231805
0.514253,0.467974,-0.0411741,0.0042904,0.378755
0.514253,0.467974,-0.0368346,0.00422134,0.340085
0.514253,0.467974,-0.0313138,0.00452275,0.594265
0.591053,0.563841,-0.259888,0.00318666,0.443845
0.591053,0.563841,-0.258345,0.0029179,0.005855
0.591053,0.563841,-0.259779,0.00318348,0.172145
0.591053,0.563841,-0.259076,0.00357121,0.32592
0.873535,0.979592,0.150349,0.0145018,0.652315
0.446793,0.427396,0.1592,0.00580898,0.341865
1.01093,0.302616,-0.241896,0.00742925,0.485145
