sigma,mu,exp_H,error,acceptance
0.714369,0.83534,-0.372917,0.00500635,0.594355
0.714369,0.83534,-0.37032,0.00502676,0.427225
0.714369,0.83534,-0.37423,0.00435148,0.6444
0.714369,0.83534,-0.374657,0.00542982,0.644735
0.714369,0.83534,-0.384087,0.00377069,0.65214
0.592761,0.802006,-0.441095,0.00184182,0.54958
0.57311,0.910812,-0.384997,0.00236302,0.53027
0.57311,0.910812,-0.377995,0.00225896,0.196535
0.57311,0.910812,-0.383975,0.00279445,0.382895
0.57311,0.910812,-0.37482,0.00217468,0.27864
0.57311,0.910812,-0.382777,0.00238684,0.54304
0.57311,0.910812,-0.381585,0.00229649,0.29386
0.57311,0.910812,-0.379601,0.00237263,0.6493
0.57311,0.910812,-0.380376,0.00270678,0.62179
0.57311,0.910812,-0.378664,0.0024318,0.461185
0.57311,0.910812,-0.380324,0.00193166,0.555455
0.57311,0.910812,-0.379699,0.00260375,0.465735
0.57311,0.910812,-0.377284,0.00255075,0.46056
0.57311,0.910812,-0.376819,0.00226229,0.513345
0.57311,0.910812,-0.38103,0.0020786,0.62504
