sigma,mu,exp_H,error,acceptance
0.77489,0.341033,-0.181344,0.00420737,0.408645
1.04967,0.610446,-0.0494325,0.0137103,0.54336
1.04967,0.610446,-0.0476273,0.0124705,0.647545
0.843367,0.7696,-0.231971,0.00873989,0.56381
0.634425,0.875547,-0.413524,0.00291583,0.575265
0.634425,0.875547,-0.415146,0.00282307,0.67917
0.634425,0.875547,-0.418913,0.00260667,0.599905
0.634425,0.875547,-0.415299,0.0032291,0.265285
0.634425,0.875547,-0.417719,0.00259393,0.5875
0.789908,0.714831,-0.327088,0.00575037,0.53584
0.789908,0.714831,-0.331996,0.00477984,0.62111
0.595286,0.404381,-0.0218875,0.00471995,0.36624
0.595286,0.404381,-0.0248526,0.00454561,0.197205
0.595286,0.404381,-0.0272954,0.00482606,0.225795
0.482028,0.726657,-0.241161,0.0049382,0.473785
0.624409,0.883896,-0.415655,0.00275689,0.568935
0.624409,0.883896,-0.412637,0.0027808,0.601215
0.957317,0.562477,-0.222754,0.00907259,0.51435
0.68823,0.524038,-0.255586,0.00326636,0.439785
0.805209,0.651936,-0.320158,0.00511843,0.51368
