sigma,mu,exp_H,error,acceptance
0.695983,0.804528,-0.408433,0.00393132,0.575595
0.618063,0.851033,-0.435165,0.00186894,0.56641
0.618063,0.851033,-0.433756,0.00213034,0.53119
0.619086,0.896345,-0.40797,0.00252951,0.564735
0.619086,0.896345,-0.408627,0.00252767,0.51868
0.599611,0.905443,-0.402065,0.00235917,0.55223
0.58912,0.859984,-0.425127,0.00179536,0.549325
0.58912,0.859984,-0.421609,0.00188243,0.475685
0.58912,0.859984,-0.426789,0.00216916,0.556105
0.58912,0.859984,-0.425556,0.00224919,0.58011
0.58912,0.859984,-0.4233,0.00214359,0.519745
0.58912,0.859984,-0.426656,0.00214048,0.52139
0.58912,0.859984,-0.423473,0.00228441,0.521365
0.58912,0.859984,-0.426402,0.00193824,0.509915
0.568203,0.817677,-0.420861,0.00223244,0.535375
0.625342,0.854148,-0.431997,0.00242333,0.568785
0.625342,0.854148,-0.430928,0.0022855,0.58824
0.625342,0.854148,-0.430057,0.00237481,0.551815
0.584842,0.862842,-0.419679,0.00199628,0.543745
0.584842,0.862842,-0.422028,0.00216144,0.484025
