sigma,mu,exp_H,error,acceptance
0.607498,0.797386,-0.446474,0.00164397,0.556475
0.607498,0.797386,-0.443796,0.00193025,0.559365
0.605823,0.800668,-0.444074,0.00177025,0.55583
0.605823,0.800668,-0.446258,0.00176906,0.555955
0.605823,0.800668,-0.443541,0.00163272,0.56025
0.605823,0.800668,-0.44372,0.0016397,0.55306
0.605823,0.800668,-0.443829,0.00157665,0.55082
0.601039,0.809666,-0.443964,0.00172442,0.55529
0.597533,0.810141,-0.443056,0.00148892,0.55213
0.597533,0.810141,-0.442286,0.00173459,0.558985
0.590767,0.805794,-0.442914,0.00177179,0.5487
0.590767,0.805794,-0.44215,0.0015781,0.54361
0.593291,0.803638,-0.438834,0.00205846,0.550235
0.593291,0.803638,-0.441379,0.00198369,0.54797
0.593291,0.803638,-0.440011,0.00196971,0.54574
0.602793,0.795642,-0.444674,0.00152937,0.55198
0.602793,0.795642,-0.444086,0.00164882,0.555575
0.613059,0.790783,-0.442347,0.00159884,0.55496
0.613059,0.790783,-0.442704,0.00196097,0.553735
0.613059,0.790783,-0.447446,0.00162956,0.5561
