sigma,mu,exp_H,error,acceptance
0.859866,0.562534,-0.274926,0.00576406,0.49186
0.887078,0.459106,-0.277926,0.00424932,0.47105
1.05777,0.269323,-0.222336,0.00987351,0.49588
1.08191,0.135886,-0.208941,0.00780949,0.4954
0.959394,0.193835,-0.243189,0.00522971,0.45602
1.12738,0.0558857,-0.17056,0.0118689,0.5071
1.0319,0.159178,-0.244041,0.00574645,0.479615
1.05148,0.265638,-0.216009,0.00997755,0.493015
1.01053,0.179002,-0.229831,0.00732935,0.47211
1.04063,0.21235,-0.233998,0.007007,0.48458
0.896295,0.0663555,-0.204427,0.00411443,0.426005
0.732771,0.125334,-0.00574962,0.00535255,0.35976
0.72259,0.0900347,0.0225838,0.00525031,0.35293
0.72259,0.0900347,0.0103714,0.00537097,0.299565
0.757788,0.180699,-0.0697241,0.00481905,0.375785
0.757788,0.180699,-0.0796581,0.00441255,0.329595
0.82643,0.197529,-0.164804,0.00429067,0.40572
0.978847,0.108072,-0.248533,0.00496669,0.45795
1.09489,0.0679314,-0.214701,0.00779983,0.49744
1.16915,0.174253,-0.0875597,0.0168539,0.52363
