sigma,mu,exp_H,error,acceptance
0.613059,0.790783,-0.443977,0.00166236,0.555415
0.613059,0.790783,-0.444983,0.00129229,0.55966
0.616459,0.797268,-0.442877,0.0016413,0.55962
0.609874,0.78741,-0.441896,0.00139499,0.555375
0.609874,0.78741,-0.444861,0.00158089,0.551605
0.610525,0.785618,-0.446927,0.00156776,0.554815
0.601595,0.793717,-0.44339,0.00192459,0.55287
0.606682,0.789148,-0.44542,0.00164396,0.552645
0.606682,0.789148,-0.445691,0.00158591,0.55658
0.607502,0.786269,-0.444927,0.00195044,0.55474
0.607502,0.786269,-0.444054,0.00146899,0.552075
0.607502,0.786269,-0.441179,0.00149434,0.55143
0.597429,0.78251,-0.442749,0.00169855,0.547955
0.597429,0.78251,-0.440784,0.00168596,0.547115
0.597429,0.78251,-0.439716,0.00165358,0.547365
0.597429,0.78251,-0.442225,0.00154988,0.54796
0.597429,0.78251,-0.441446,0.00168478,0.54527
0.602948,0.779472,-0.440311,0.00161905,0.55255
0.607725,0.776293,-0.441565,0.00171037,0.55055
0.607725,0.776293,-0.443626,0.00153324,0.55131
