sigma,mu,exp_H,error,acceptance
0.656737,0.709302,-0.414132,0.00177982,0.447585
0.656737,0.709302,-0.411317,0.00227703,0.479575
0.656737,0.709302,-0.409183,0.00211599,0.487615
0.656737,0.709302,-0.409451,0.00197095,0.56825
0.656737,0.709302,-0.409111,0.00193512,0.54283
0.656737,0.709302,-0.412603,0.00187406,0.59692
0.656737,0.709302,-0.411958,0.00209547,0.426405
0.643684,0.8645,-0.419362,0.0031317,0.58188
0.643684,0.8645,-0.42438,0.00247684,0.44844
0.643684,0.8645,-0.418372,0.00318909,0.640595
0.582667,0.85439,-0.42412,0.00196182,0.54274
0.582667,0.85439,-0.422677,0.00219999,0.42556
0.582667,0.85439,-0.421489,0.00231169,0.40405
0.582667,0.85439,-0.422795,0.00192656,0.369655
0.657421,0.740893,-0.422669,0.00198942,0.550905
0.657421,0.740893,-0.425538,0.00210384,0.486495
0.698494,0.635301,-0.355005,0.00239705,0.493705
0.705031,0.790355,-0.397729,0.00389836,0.574445
0.705031,0.790355,-0.39884,0.00406296,0.513645
0.596356,0.778879,-0.436948,0.00171817,0.54748
