sigma,mu,exp_H,error,acceptance
0.640954,0.973929,-0.306871,0.00463597,0.021005
0.640954,0.973929,-0.302358,0.00485728,0.27175
0.263816,0.407738,1.81907,0.0247926,0.266565
0.540829,0.154205,0.45203,0.00841467,0.27687
0.500546,0.460005,-0.00965751,0.00436978,0.370905
0.342254,0.0577383,1.94863,0.0212034,0.169065
0.654942,0.872796,-0.416556,0.00332784,0.584215
0.655493,0.706836,-0.406773,0.00223253,0.528895
0.614057,1.07517,-0.11861,0.00574845,0.51124
0.614057,1.07517,-0.122068,0.00582776,0.287085
0.614057,1.07517,-0.117752,0.00511939,0.718525
0.614057,1.07517,-0.122256,0.00587017,0.01954
0.377084,1.33181,1.06656,0.0106857,0.21982
0.377084,1.33181,1.06196,0.0105627,0.620405
0.904177,0.601749,-0.251121,0.00737635,0.511865
1.4665,1.10717,4.89347,0.107135,0.694775
0.836102,0.287484,-0.198319,0.00437983,0.42021
0.836102,0.287484,-0.209334,0.00383,0.6008
0.836102,0.287484,-0.204051,0.00393594,0.66223
0.836102,0.287484,-0.203516,0.00408254,0.187435
