sigma,mu,exp_H,error,acceptance
0.771454,0.59891,-0.325597,0.00356275,0.48383
0.771454,0.59891,-0.326098,0.00360791,0.44843
0.771454,0.59891,-0.322723,0.00317247,0.47744
0.738062,0.540548,-0.281562,0.003072,0.456465
0.81098,0.562546,-0.301372,0.0039998,0.48032
0.81098,0.562546,-0.299078,0.0037189,0.458945
0.767821,0.660345,-0.33645,0.00466634,0.51267
0.773937,0.728294,-0.338587,0.00476183,0.5419
0.773937,0.728294,-0.340163,0.00505608,0.51587
0.735327,0.662234,-0.354575,0.00336347,0.51007
0.739467,0.605278,-0.324841,0.00366908,0.48286
0.739467,0.605278,-0.329303,0.00319351,0.47685
0.684413,0.574947,-0.304199,0.00337181,0.46222
0.793488,0.671216,-0.327553,0.00500683,0.518265
0.793488,0.671216,-0.330741,0.00444162,0.520295
0.721547,0.655092,-0.357864,0.00376945,0.506075
0.721547,0.655092,-0.358821,0.00316955,0.470135
0.761524,0.679983,-0.347257,0.00392761,0.51882
0.761524,0.679983,-0.348706,0.00408104,0.500595
0.761524,0.679983,-0.349252,0.00374744,0.521575
