sigma,mu,exp_H,error,acceptance
0.805209,0.651936,-0.316945,0.00503421,0.482785
0.805209,0.651936,-0.322202,0.00464942,0.33557
0.982547,0.640051,-0.133651,0.00978608,0.53577
0.982547,0.640051,-0.151994,0.0105399,0.56375
0.6015,0.64455,-0.356612,0.00231686,0.49672
0.648935,0.704239,-0.411312,0.00182404,0.53089
0.648935,0.704239,-0.406111,0.00194924,0.491695
0.648935,0.704239,-0.408297,0.00192501,0.39466
0.805663,0.358618,-0.211307,0.0040661,0.422105
0.827957,0.494624,-0.275177,0.00451301,0.461295
0.895775,0.278432,-0.240674,0.00410889,0.441445
0.968946,0.431214,-0.237811,0.00770465,0.49158
0.968946,0.431214,-0.25365,0.00579439,0.606865
0.968946,0.431214,-0.250652,0.0061904,0.543225
0.968946,0.431214,-0.241876,0.00737698,0.53959
0.695881,0.803018,-0.398686,0.00444769,0.57912
0.695881,0.803018,-0.406607,0.00409253,0.57768
0.722319,0.793994,-0.380144,0.00424653,0.57769
0.722319,0.793994,-0.379479,0.00423976,0.67285
0.722319,0.793994,-0.382191,0.00377764,0.382685
