sigma,mu,exp_H,error,acceptance
0.604493,0.787854,-0.4438,0.00162107,0.55356
0.605164,0.782395,-0.443494,0.00170591,0.551725
0.607196,0.791172,-0.445718,0.00160011,0.553405
0.607196,0.791172,-0.447328,0.0017268,0.552755
0.617508,0.791874,-0.44545,0.00166723,0.55837
0.617508,0.791874,-0.447589,0.00203299,0.558735
0.604668,0.803248,-0.444782,0.0016842,0.554525
0.608638,0.796816,-0.443725,0.00153409,0.55726
0.602065,0.800127,-0.442503,0.00173212,0.55376
0.597709,0.812836,-0.441806,0.00181248,0.553765
0.597709,0.812836,-0.441749,0.00183341,0.55676
0.610261,0.802156,-0.443145,0.00175272,0.55766
0.610261,0.802156,-0.444124,0.00187371,0.56063
0.61075,0.812742,-0.444805,0.00167006,0.55928
0.599194,0.806575,-0.444541,0.00178805,0.55314
0.599194,0.806575,-0.443155,0.00180015,0.549815
0.612062,0.792941,-0.44273,0.00182204,0.55664
0.612062,0.792941,-0.443788,0.00149748,0.555095
0.612062,0.792941,-0.444309,0.00172134,0.55251
0.612062,0.792941,-0.445649,0.00146372,0.556685
