sigma,mu,exp_H,error,acceptance
0.637956,0.810324,-0.440601,0.00212416,0.568145
0.643839,0.819116,-0.432433,0.00277877,0.573625
0.643839,0.819116,-0.438725,0.0024093,0.58675
0.622577,0.787612,-0.443029,0.0015557,0.559945
0.656699,0.754157,-0.42893,0.00222375,0.55619
0.621071,0.783151,-0.445367,0.0015707,0.55793
0.614828,0.752762,-0.434226,0.00164453,0.54894
0.588275,0.748548,-0.428073,0.00170041,0.53903
0.567776,0.770084,-0.422056,0.00226715,0.532425
0.581995,0.764029,-0.434673,0.00165221,0.539275
0.618772,0.741292,-0.43433,0.00135759,0.54503
0.600928,0.726971,-0.426318,0.00137628,0.53601
0.576026,0.714136,-0.408879,0.00204065,0.525205
0.612195,0.737055,-0.428137,0.00185267,0.54422
0.61484,0.733711,-0.428233,0.0016554,0.540625
0.645988,0.764811,-0.434818,0.0020975,0.55809
0.670927,0.79326,-0.426227,0.00274289,0.57336
0.6662,0.829034,-0.423542,0.00263529,0.582525
0.6662,0.829034,-0.423432,0.002865,0.585855
0.695983,0.804528,-0.40536,0.00403769,0.58129
