sigma,mu,exp_H,error,acceptance
0.619751,0.79222,-0.444095,0.00171506,0.56083
0.619751,0.79222,-0.443657,0.00163854,0.566675
0.613162,0.78992,-0.442844,0.00192457,0.556545
0.613162,0.78992,-0.443022,0.0017988,0.56063
0.613162,0.78992,-0.445643,0.00179105,0.551535
0.609914,0.794198,-0.447042,0.00151782,0.55591
0.609914,0.794198,-0.443026,0.00159279,0.56028
0.609914,0.794198,-0.445193,0.0015391,0.55583
0.602882,0.791676,-0.446037,0.001862,0.55344
0.602882,0.791676,-0.44395,0.00158423,0.54945
0.602882,0.791676,-0.443946,0.00155946,0.555325
0.602882,0.791676,-0.444323,0.00136557,0.555895
0.602882,0.791676,-0.442508,0.00168218,0.55181
0.602882,0.791676,-0.444281,0.00183299,0.54924
0.602882,0.791676,-0.443884,0.00152938,0.55304
0.602882,0.791676,-0.442003,0.00174949,0.550945
0.602882,0.791676,-0.444053,0.00182427,0.55201
0.602882,0.791676,-0.442984,0.00174507,0.55061
0.602882,0.791676,-0.443064,0.00169571,0.55079
0.602882,0.791676,-0.443195,0.00172581,0.548985
0.602882,0.791676,-0.444013,0.00162486,0.549575
0.602882,0.791676,-0.442469,0.00170435,0.54861
0.602882,0.791676,-0.440655,0.00188306,0.54927
0.611536,0.786972,-0.442278,0.001913,0.555345
0.611536,0.786972,-0.444523,0.00146925,0.5483
0.611536,0.786972,-0.444739,0.0015785,0.55595
0.611536,0.786972,-0.444773,0.00170281,0.555015
0.611536,0.786972,-0.443428,0.0016148,0.55201
0.611536,0.786972,-0.443669,0.00146863,0.553715
0.620352,0.79425,-0.445118,0.00167745,0.560725
0.61694,0.801006,-0.444511,0.00155696,0.560295
0.623217,0.79891,-0.445497,0.00152058,0.563025
0.628002,0.795138,-0.443134,0.00177039,0.562515
0.632535,0.795308,-0.444966,0.00158391,0.56379
0.632535,0.795308,-0.443367,0.00201067,0.56649
0.632535,0.795308,-0.443771,0.00180512,0.562695
0.623706,0.78661,-0.445576,0.00154295,0.56087
0.623706,0.78661,-0.442605,0.00185316,0.558745
0.623706,0.78661,-0.444675,0.00172723,0.561935
0.611489,0.785064,-0.44605,0.00144062,0.556845
