sigma,mu,exp_H,error,acceptance
0.614353,0.861005,-0.428789,0.00242513,0.56347
0.629137,0.888032,-0.412576,0.00278194,0.573465
0.58145,0.84691,-0.423804,0.00207766,0.541825
0.58145,0.84691,-0.424389,0.00192825,0.50777
0.58145,0.84691,-0.425657,0.00202386,0.528165
0.618826,0.856383,-0.430817,0.00225388,0.56526
0.583957,0.838232,-0.431778,0.00189565,0.547225
0.612977,0.85268,-0.434694,0.00215083,0.56227
0.612977,0.85268,-0.431691,0.0020848,0.53659
0.611718,0.854782,-0.436536,0.00159316,0.561295
0.611718,0.854782,-0.435346,0.00215782,0.533655
0.611718,0.854782,-0.429487,0.00235774,0.5874
0.611718,0.854782,-0.429395,0.00229736,0.52895
0.583701,0.833844,-0.432342,0.00197181,0.545995
0.583701,0.833844,-0.431282,0.00192219,0.52927
0.583701,0.833844,-0.430531,0.00182879,0.53229
0.613811,0.813681,-0.441469,0.0019794,0.561055
0.569057,0.832815,-0.417716,0.00205195,0.53625
0.569057,0.832815,-0.418995,0.00223822,0.52077
0.569057,0.832815,-0.420809,0.00204982,0.533145
