sigma,mu,exp_H,error,acceptance
0.607299,0.844612,-0.437837,0.00186424,0.617265
0.607299,0.844612,-0.436594,0.00171398,0.59947
0.607299,0.844612,-0.436524,0.00210859,0.6291
0.607299,0.844612,-0.433315,0.00240643,0.461225
0.733388,0.704496,-0.372706,0.00349867,0.5308
0.733388,0.704496,-0.372863,0.00323958,0.60032
0.733388,0.704496,-0.378091,0.0034366,0.470615
0.718603,0.658517,-0.361257,0.003815,0.508675
0.787249,0.648836,-0.333605,0.0041252,0.50682
0.775905,0.799064,-0.316869,0.00612402,0.57907
0.737899,0.889712,-0.302609,0.00601665,0.614005
0.630664,0.776275,-0.443114,0.00174025,0.5593
0.581876,0.73366,-0.422538,0.00183183,0.53185
0.581876,0.73366,-0.420589,0.0018362,0.59341
0.581876,0.73366,-0.420074,0.00190668,0.49101
0.639148,0.7458,-0.430764,0.00196411,0.55122
0.639148,0.7458,-0.432841,0.00176134,0.551335
0.64128,0.731849,-0.42606,0.0018165,0.542985
0.64128,0.731849,-0.424463,0.00179729,0.537155
0.64128,0.731849,-0.42783,0.00164393,0.532015
