sigma,mu,exp_H,error,acceptance
0.626859,0.756685,-0.43855,0.0017737,0.54916
0.629188,0.75461,-0.437247,0.00156589,0.550915
0.647204,0.775521,-0.432403,0.00201872,0.562275
0.63932,0.788712,-0.437899,0.00201083,0.565195
0.645462,0.778008,-0.438592,0.00189556,0.564215
0.636001,0.786488,-0.441247,0.00196351,0.56384
0.636001,0.786488,-0.444417,0.00177013,0.561725
0.618832,0.765648,-0.438349,0.00177969,0.552635
0.618832,0.765648,-0.441495,0.00147252,0.5496
0.625388,0.787042,-0.440332,0.00185278,0.561425
0.602844,0.801682,-0.440386,0.00155766,0.55279
0.62003,0.804321,-0.446483,0.00173669,0.562195
0.619908,0.799304,-0.443707,0.00156339,0.559955
0.614163,0.776609,-0.440531,0.00201125,0.556435
0.614163,0.776609,-0.443906,0.0013025,0.54757
0.636113,0.793523,-0.442709,0.001816,0.56506
0.630988,0.773453,-0.441762,0.00181721,0.556785
0.630988,0.773453,-0.438726,0.00158893,0.559855
0.622787,0.792228,-0.445257,0.00140346,0.562
0.606561,0.784051,-0.442585,0.00147266,0.552545
