sigma,mu,exp_H,error,acceptance
0.690342,0.798063,-0.410095,0.00322872,0.57729
0.766305,0.725967,-0.362734,0.00359105,0.539175
0.661537,0.741751,-0.423692,0.0020204,0.55065
0.661537,0.741751,-0.424239,0.00199142,0.47841
0.646159,0.790801,-0.43873,0.00181719,0.569105
0.574624,0.825173,-0.428585,0.0021456,0.541845
0.547,0.698296,-0.377939,0.0030421,0.50904
0.547,0.698296,-0.371888,0.00281699,0.442855
0.673348,0.819793,-0.420717,0.00317608,0.5837
0.673348,0.819793,-0.418529,0.00295301,0.606425
0.580152,0.951205,-0.340121,0.00248881,0.52237
0.659318,0.884054,-0.400631,0.00334143,0.587415
0.659318,0.884054,-0.402487,0.00358395,0.53377
0.627969,0.755122,-0.43536,0.001861,0.55353
0.564928,0.828017,-0.417498,0.00220233,0.53587
0.623418,0.932014,-0.376411,0.0029698,0.562845
0.648442,0.916785,-0.380188,0.00344276,0.581935
0.647935,0.786968,-0.436515,0.00217445,0.565835
0.74099,0.694686,-0.362409,0.00344196,0.524755
0.63854,0.783897,-0.44053,0.00192477,0.56232
