sigma,mu,exp_H,error,acceptance
1.02183,0.209536,-0.250705,0.00602124,0.58301
1.22717,0.34192,0.0943176,0.0199259,0.547515
1.22717,0.34192,0.098046,0.0193012,0.61884
1.22717,0.34192,0.105103,0.0187931,0.67177
1.22717,0.34192,0.093878,0.0161702,0.68337
0.71044,0.0500622,0.0557952,0.00551642,0.34742
0.71044,0.0500622,0.0508499,0.00520116,0.129005
0.925493,0.410437,-0.263597,0.00541898,0.471005
0.925493,0.410437,-0.252717,0.00484715,0.273695
0.617287,0.796585,-0.44289,0.00168279,0.55879
0.617287,0.796585,-0.443066,0.00179997,0.079845
0.726221,0.911936,-0.298484,0.00671085,0.61669
0.725011,0.737991,-0.384472,0.00329776,0.54797
0.725011,0.737991,-0.391462,0.00367311,0.696325
0.860152,0.377242,-0.244339,0.00465486,0.44383
1.04563,0.476839,-0.165878,0.00903886,0.517105
1.04563,0.476839,-0.163971,0.0117992,0.593735
0.613979,1.02546,-0.228046,0.00484339,0.53062
0.613979,1.02546,-0.227546,0.00402713,0.56122
0.613979,1.02546,-0.228556,0.00424638,0.61235
