sigma,mu,exp_H,error,acceptance
0.602462,0.798621,-0.442776,0.00151166,0.551605
0.602462,0.798621,-0.444097,0.00177481,0.55449
0.602462,0.798621,-0.443867,0.00157426,0.55071
0.602462,0.798621,-0.443942,0.00154196,0.553625
0.600411,0.795902,-0.443304,0.00173899,0.55246
0.601734,0.791546,-0.444239,0.00186578,0.55113
0.601819,0.787857,-0.445233,0.00165934,0.55233
0.601391,0.789844,-0.44128,0.001999,0.552705
0.598061,0.789334,-0.441286,0.00173416,0.550585
0.598061,0.789334,-0.439312,0.00159029,0.550975
0.599723,0.788523,-0.442189,0.00146957,0.553375
0.599723,0.788523,-0.442244,0.00181551,0.5481
0.599723,0.788523,-0.444659,0.0015517,0.552605
0.599723,0.788523,-0.443373,0.00137392,0.55048
0.59981,0.789126,-0.443063,0.00183645,0.550515
0.603308,0.792924,-0.443114,0.00167451,0.55158
0.606344,0.795918,-0.442943,0.00185652,0.555745
0.606344,0.795918,-0.441639,0.00149051,0.554165
0.606344,0.795918,-0.447351,0.00151647,0.555435
0.606679,0.792036,-0.444565,0.00147225,0.55552
0.604964,0.792222,-0.442631,0.00162071,0.55351
0.606515,0.796664,-0.446353,0.00157198,0.555715
0.609035,0.80112,-0.443627,0.00172381,0.556315
0.609035,0.80112,-0.444192,0.00158427,0.55728
0.609035,0.80112,-0.445449,0.0016483,0.55593
0.609035,0.80112,-0.446668,0.00164509,0.55573
0.609035,0.80112,-0.442579,0.00151509,0.55392
0.609035,0.80112,-0.444652,0.00162453,0.557755
0.605649,0.801501,-0.442894,0.00179206,0.555185
0.605835,0.804102,-0.447105,0.00165462,0.55569
0.603775,0.805442,-0.444681,0.00188764,0.55651
0.603775,0.805442,-0.44616,0.00173964,0.55562
0.603775,0.805442,-0.443366,0.00169684,0.553005
0.607851,0.808755,-0.444006,0.00195579,0.5583
0.607851,0.808755,-0.444217,0.00153517,0.558925
0.607752,0.804966,-0.443938,0.00210904,0.55873
0.607752,0.804966,-0.444758,0.00178489,0.55449
0.607752,0.804966,-0.443564,0.00156793,0.55472
0.603715,0.808174,-0.445336,0.0017327,0.557655
0.606391,0.80776,-0.443278,0.00165768,0.558355
