sigma,mu,exp_H,error,acceptance
0.611557,0.803444,-0.444381,0.00208252,0.558165
0.619743,0.800361,-0.444217,0.0014864,0.55972
0.619743,0.800361,-0.442639,0.00193641,0.54708
0.619743,0.800361,-0.441816,0.00172502,0.545795
0.63683,0.793378,-0.442037,0.00188171,0.564315
0.63683,0.793378,-0.440845,0.00189247,0.573975
0.603438,0.780957,-0.440237,0.00195892,0.55141
0.597437,0.786244,-0.443098,0.00189724,0.54997
0.597437,0.786244,-0.443292,0.00184745,0.545945
0.597437,0.786244,-0.441879,0.00164126,0.54083
0.597437,0.786244,-0.438742,0.00193592,0.536285
0.597437,0.786244,-0.440334,0.00170146,0.54802
0.597437,0.786244,-0.440398,0.00181453,0.567475
0.597437,0.786244,-0.44198,0.00168526,0.539255
0.597437,0.786244,-0.440826,0.00176363,0.53528
0.597437,0.786244,-0.439065,0.00173485,0.536345
0.62824,0.771114,-0.443522,0.00151975,0.56024
0.631365,0.757143,-0.436081,0.00168765,0.552685
0.631365,0.757143,-0.437156,0.0016442,0.54019
0.648927,0.785596,-0.439963,0.00191286,0.56729
