sigma,mu,exp_H,error,acceptance
0.612062,0.792941,-0.445798,0.00178139,0.554995
0.599231,0.800786,-0.44385,0.00182818,0.550535
0.606308,0.800434,-0.443625,0.00196006,0.55658
0.61952,0.8059,-0.445158,0.00182112,0.56187
0.61952,0.8059,-0.445215,0.0018425,0.56555
0.61952,0.8059,-0.444294,0.00198017,0.56058
0.615576,0.809618,-0.445339,0.00172232,0.56087
0.615576,0.809618,-0.445188,0.00136016,0.555655
0.60917,0.808401,-0.44394,0.00186001,0.55917
0.60917,0.808401,-0.442622,0.00196538,0.55199
0.60917,0.808401,-0.443122,0.00152577,0.55597
0.60917,0.808401,-0.44233,0.0016607,0.554895
0.613009,0.799853,-0.444561,0.00178489,0.5593
0.603277,0.792299,-0.444799,0.00151769,0.552565
0.603277,0.792299,-0.443195,0.00173379,0.55261
0.60548,0.800601,-0.444928,0.00164837,0.5562
0.611406,0.795424,-0.44353,0.00168735,0.557465
0.611406,0.795424,-0.447279,0.00172556,0.557495
0.608556,0.801795,-0.445758,0.00160465,0.556935
0.619751,0.79222,-0.446202,0.00175067,0.56057
