sigma,mu,exp_H,error,acceptance
0.63619,0.814528,-0.439741,0.00230271,0.576305
0.636604,0.814008,-0.438823,0.00203099,0.56852
0.648788,0.813245,-0.437591,0.00251607,0.57404
0.653448,0.814863,-0.436396,0.00261278,0.57658
0.658726,0.807109,-0.436075,0.00241118,0.57425
0.658726,0.807109,-0.431035,0.0026333,0.575005
0.646709,0.808243,-0.440137,0.00212832,0.57392
0.646709,0.808243,-0.44021,0.00213098,0.570835
0.642033,0.823129,-0.438207,0.00231883,0.573545
0.627087,0.817128,-0.441579,0.00219254,0.567955
0.614302,0.827515,-0.440227,0.00210712,0.561305
0.614302,0.827515,-0.444435,0.00185011,0.566805
0.612773,0.816081,-0.442667,0.00175071,0.561055
0.612773,0.816081,-0.443811,0.001778,0.554475
0.612773,0.816081,-0.446428,0.0016309,0.56608
0.618545,0.81641,-0.443326,0.00163773,0.56234
0.618545,0.81641,-0.442312,0.00183378,0.56901
0.608769,0.817683,-0.445587,0.001515,0.55946
0.610037,0.822625,-0.441861,0.00183038,0.557945
0.616764,0.81442,-0.440876,0.00215262,0.563085
