sigma,mu,exp_H,error,acceptance
1.02067,0.00957251,-0.24728,0.00598037,0.47252
1.02067,0.00957251,-0.24711,0.00536614,0.54581
0.967729,0.0999148,-0.250785,0.00490877,0.453505
1.02121,0.149576,-0.249074,0.00619115,0.47323
1.12956,0.255533,-0.147056,0.0106745,0.51624
1.14086,0.405639,-0.0684403,0.0129937,0.534435
1.14086,0.405639,-0.00718802,0.0161453,0.573965
0.919132,0.230437,-0.240224,0.00435478,0.443045
1.20867,0.00539385,-0.0497084,0.0156915,0.531555
1.20867,0.00539385,-0.034398,0.0142267,0.60287
0.970384,0.00780884,-0.233535,0.00577341,0.45431
0.970384,0.00780884,-0.24822,0.00474425,0.429205
1.22991,0.299415,0.101955,0.0195018,0.5505
1.22707,0.0449298,-0.0309149,0.0147354,0.53773
1.22707,0.0449298,-0.0259614,0.0125152,0.597385
1.22707,0.0449298,-0.00991542,0.0176284,0.617675
0.952967,0.209018,-0.2402,0.00383053,0.45544
0.747807,0.0439919,-0.0192096,0.00526123,0.36232
0.636168,0.0738368,0.223256,0.00742188,0.31226
0.636168,0.0738368,0.219545,0.00665557,0.213455
