sigma,mu,exp_H,error,acceptance
0.728991,0.706344,-0.380753,0.0030778,0.52953
0.646106,0.765569,-0.440122,0.0015691,0.55876
0.590545,0.849867,-0.431463,0.00208969,0.54785
0.607312,0.854353,-0.431019,0.0023199,0.55977
0.546193,0.917248,-0.342494,0.00256126,0.505095
0.546193,0.917248,-0.339519,0.00313398,0.47451
0.546331,0.915918,-0.33604,0.00308701,0.50385
0.546331,0.915918,-0.342321,0.00273875,0.427945
0.546331,0.915918,-0.341501,0.00305331,0.547345
0.601803,0.895941,-0.407822,0.00238722,0.55389
0.601803,0.895941,-0.408483,0.00245459,0.58129
0.601803,0.895941,-0.404097,0.00254786,0.472175
0.591981,0.853882,-0.427662,0.00189644,0.54997
0.595652,0.912293,-0.392793,0.00216075,0.546955
0.583281,0.857031,-0.423435,0.00226518,0.5466
0.60334,0.847306,-0.433748,0.0021079,0.55834
0.60334,0.847306,-0.429976,0.00217553,0.51613
0.524624,0.822099,-0.359568,0.00334816,0.50323
0.607299,0.844612,-0.438546,0.00260755,0.559585
0.607299,0.844612,-0.429496,0.002178,0.51802
