sigma,mu,exp_H,error,acceptance
0.768598,0.237499,-0.120054,0.00479125,0.388725
0.768598,0.237499,-0.112213,0.00423881,0.556105
0.768598,0.237499,-0.109907,0.00443059,0.254185
0.768598,0.237499,-0.100406,0.00463216,0.577525
1.26389,0.560795,0.55034,0.0361563,0.58201
0.96233,0.400796,-0.241469,0.00787578,0.48258
0.96233,0.400796,-0.254486,0.00547034,0.57734
0.96233,0.400796,-0.248098,0.00676619,0.60675
0.66204,0.856217,-0.415641,0.00316568,0.587545
0.586823,0.351253,0.0750383,0.00502232,0.34445
1.06649,0.0403471,-0.230244,0.00651814,0.48721
1.06649,0.0403471,-0.237576,0.00743983,0.62233
1.06649,0.0403471,-0.241569,0.00744337,0.573275
1.06649,0.0403471,-0.236497,0.00764948,0.63302
0.846623,0.476082,-0.269818,0.00500179,0.46183
0.820124,0.443996,-0.26306,0.00384153,0.4476
0.820124,0.443996,-0.259577,0.00416026,0.663795
0.763172,0.0900996,-0.0595601,0.00469876,0.37257
1.02183,0.209536,-0.241153,0.00630379,0.47879
1.02183,0.209536,-0.248943,0.00610354,0.518125
