sigma,mu,exp_H,error,acceptance
1.15209,1.0568,1.80007,0.0455389,0.762765
1.15209,1.0568,1.73977,0.0438546,0.812475
1.15209,1.0568,1.85773,0.0597889,0.74454
1.15209,1.0568,1.71233,0.0461796,0.788885
1.15209,1.0568,1.81109,0.0466612,0.87907
1.15209,1.0568,1.85591,0.050983,0.14642
1.15209,1.0568,1.79478,0.0447693,0.46553
1.15209,1.0568,1.73521,0.0493134,0.825835
1.15209,1.0568,1.72723,0.0392624,0.39736
0.846915,0.907276,-0.0626282,0.0109721,0.628085
0.846915,0.907276,-0.0507516,0.0122421,0.401595
0.846915,0.907276,-0.0558541,0.0104708,0.790155
0.846915,0.907276,-0.0616657,0.0117162,0.82456
0.846915,0.907276,-0.059629,0.0106972,0.20645
0.846915,0.907276,-0.0639327,0.0105048,0.793925
0.846915,0.907276,-0.0572421,0.0118233,0.771365
0.846915,0.907276,-0.0466729,0.0120427,0.743405
0.846915,0.907276,-0.0683168,0.0115738,0.813485
0.846915,0.907276,-0.0683646,0.0113827,0.725055
0.526521,0.549861,-0.18922,0.00360712,0.433185
