sigma,mu,exp_H,error,acceptance
0.616764,0.81442,-0.445057,0.00158914,0.56393
0.616764,0.81442,-0.445493,0.00171502,0.561535
0.616764,0.81442,-0.442673,0.00174434,0.564575
0.616764,0.81442,-0.443377,0.00206145,0.568485
0.607138,0.784369,-0.444644,0.00168293,0.553715
0.607138,0.784369,-0.442481,0.00187475,0.559055
0.607138,0.784369,-0.443543,0.00151517,0.54674
0.607138,0.784369,-0.441932,0.00156936,0.548045
0.607138,0.784369,-0.444823,0.00135785,0.5466
0.627274,0.768616,-0.443464,0.00159977,0.55664
0.627274,0.768616,-0.440336,0.00170078,0.54718
0.606803,0.780062,-0.443998,0.00155504,0.553305
0.606803,0.780062,-0.444148,0.00175899,0.543
0.606803,0.780062,-0.444199,0.00156766,0.553735
0.606803,0.780062,-0.441899,0.00176595,0.56206
0.606803,0.780062,-0.440307,0.00182626,0.552275
0.606803,0.780062,-0.442897,0.00158168,0.55241
0.606803,0.780062,-0.442698,0.00154298,0.53929
0.599914,0.798364,-0.441862,0.0017354,0.552245
0.599914,0.798364,-0.441709,0.00178775,0.547925
