sigma,mu,exp_H,error,acceptance
0.609829,0.782748,-0.442623,0.00165009,0.55459
0.605277,0.783454,-0.442003,0.00185643,0.553195
0.604946,0.784994,-0.4432,0.00173442,0.552975
0.607516,0.785816,-0.445041,0.00161957,0.55326
0.607516,0.785816,-0.442007,0.00155108,0.553695
0.607516,0.785816,-0.441786,0.001613,0.551115
0.606844,0.788325,-0.443475,0.00157113,0.55532
0.606844,0.788325,-0.446531,0.00196465,0.55477
0.606844,0.788325,-0.443404,0.00159161,0.55366
0.604069,0.788132,-0.443842,0.00156687,0.55183
0.604069,0.788132,-0.445501,0.00162918,0.55258
0.606356,0.790659,-0.44586,0.00145584,0.55431
0.606356,0.790659,-0.443459,0.00169858,0.554905
0.602038,0.787663,-0.441976,0.00160977,0.551985
0.603991,0.785778,-0.445528,0.00155803,0.55188
0.60467,0.785204,-0.445788,0.00164545,0.552245
0.60467,0.785204,-0.446216,0.0015923,0.55301
0.606232,0.787232,-0.446895,0.00158805,0.55451
0.609333,0.788347,-0.442851,0.00125123,0.555685
0.609333,0.788347,-0.445179,0.00142975,0.552735
0.612706,0.789922,-0.44436,0.00203752,0.55713
0.612706,0.789922,-0.442991,0.00147352,0.55561
0.612706,0.789922,-0.446141,0.00138228,0.55688
0.616229,0.787243,-0.445451,0.00168573,0.55825
0.616229,0.787243,-0.444497,0.00199973,0.559065
0.616229,0.787243,-0.444899,0.00186469,0.55638
0.616039,0.787632,-0.444012,0.00186894,0.559105
0.620242,0.790889,-0.445545,0.00147619,0.558905
0.62051,0.790858,-0.443724,0.00190585,0.560385
0.62051,0.790858,-0.445169,0.00178635,0.557975
0.62051,0.790858,-0.445051,0.00184427,0.559165
0.62323,0.792018,-0.441969,0.00171512,0.55884
0.62323,0.792018,-0.444023,0.00165,0.561565
0.62323,0.792018,-0.444294,0.00150262,0.5605
0.62323,0.792018,-0.442941,0.00160806,0.561665
0.62323,0.792018,-0.44456,0.00145989,0.560085
0.619203,0.79137,-0.44466,0.00178548,0.55987
0.619203,0.79137,-0.44619,0.00154267,0.56
0.621763,0.78725,-0.443565,0.00201808,0.56068
0.621394,0.791418,-0.443292,0.00183387,0.560845
