sigma,mu,exp_H,error,acceptance
0.61772,0.806247,-0.444233,0.00205223,0.5645
0.613812,0.805406,-0.444708,0.0017588,0.56023
0.615633,0.803235,-0.447049,0.00145768,0.5597
0.615633,0.803235,-0.445392,0.00156237,0.553735
0.615633,0.803235,-0.444196,0.00162854,0.56061
0.612907,0.796666,-0.442341,0.00174676,0.557725
0.612907,0.796666,-0.443186,0.0016341,0.54793
0.612907,0.796666,-0.44568,0.00203368,0.557875
0.612907,0.796666,-0.446362,0.00167454,0.560315
0.612907,0.796666,-0.445082,0.0014468,0.55237
0.619473,0.80409,-0.444163,0.00181556,0.56127
0.619473,0.80409,-0.44436,0.00153199,0.566245
0.619473,0.80409,-0.446143,0.00177954,0.55291
0.619473,0.80409,-0.444405,0.00205463,0.557625
0.626068,0.787424,-0.445079,0.00203102,0.56025
0.6269,0.791496,-0.444017,0.00190197,0.561345
0.616183,0.774349,-0.446147,0.00132235,0.553055
0.616183,0.774349,-0.442866,0.00144693,0.55968
0.616183,0.774349,-0.441218,0.00177302,0.548115
0.607477,0.778943,-0.44244,0.00132228,0.551215
