sigma,mu,exp_H,error,acceptance
0.610427,0.825292,-0.442432,0.0016976,0.50717
0.610427,0.825292,-0.442342,0.00232449,0.562225
0.610427,0.825292,-0.444994,0.00161011,0.585865
0.610427,0.825292,-0.444849,0.00189503,0.58553
0.610427,0.825292,-0.442968,0.00177401,0.53149
0.610427,0.825292,-0.441595,0.00209322,0.52424
0.610427,0.825292,-0.440246,0.00235084,0.578615
0.610427,0.825292,-0.442493,0.00163442,0.51453
0.609695,0.762064,-0.44119,0.00168513,0.549515
0.609695,0.762064,-0.438395,0.0016906,0.512715
0.609695,0.762064,-0.440475,0.00154753,0.588035
0.609695,0.762064,-0.438816,0.00140267,0.54241
0.609695,0.762064,-0.442418,0.0015679,0.578545
0.609695,0.762064,-0.436321,0.00148234,0.57262
0.609695,0.762064,-0.438423,0.00150405,0.535675
0.609695,0.762064,-0.439539,0.00164846,0.496935
0.609695,0.762064,-0.436083,0.00167278,0.510575
0.6215,0.848764,-0.436036,0.00308862,0.5668
0.6215,0.848764,-0.435274,0.00194365,0.53832
0.6215,0.848764,-0.43848,0.00192139,0.59504
