sigma,mu,exp_H,error,acceptance
1.49495,0.164925,1.11196,0.0438804,0.606195
1.49495,0.164925,1.18191,0.0480326,0.674045
0.765151,0.227271,-0.0965903,0.0048637,0.38324
1.41535,0.254263,0.743885,0.0375969,0.593165
1.4271,0.410239,1.03311,0.0389831,0.603565
0.947583,0.753133,-0.0608294,0.0115052,0.5678
0.702622,0.12154,0.066002,0.0062055,0.346705
0.585918,0.641631,-0.351314,0.00194493,0.49202
0.585918,0.641631,-0.352056,0.00223036,0.709435
0.604947,0.125154,0.277462,0.00738593,0.30265
0.604947,0.125154,0.284236,0.00744943,0.69031
1.07972,0.699848,0.132039,0.015988,0.57123
1.39542,0.0353578,0.5259,0.0302026,0.58169
1.46071,0.416931,1.2202,0.0463751,0.610735
1.21758,0.993511,1.80737,0.0502185,0.65487
1.44349,0.802068,2.26439,0.0638639,0.64555
0.546934,1.57419,2.65695,0.019848,0.292915
1.15209,1.0568,1.80737,0.0474963,0.67242
1.15209,1.0568,1.76075,0.0464651,0.68188
1.15209,1.0568,1.78818,0.044716,0.680245
