sigma,mu,exp_H,error,acceptance
0.615725,0.778041,-0.446674,0.0014863,0.555205
0.616394,0.769388,-0.439912,0.00152894,0.552235
0.616394,0.769388,-0.44472,0.00156254,0.54297
0.616394,0.769388,-0.442422,0.00180459,0.558365
0.609946,0.785402,-0.446319,0.00152326,0.553435
0.609946,0.785402,-0.442999,0.00160832,0.55185
0.609946,0.785402,-0.442487,0.00171134,0.552295
0.609946,0.785402,-0.446456,0.00143709,0.54784
0.609946,0.785402,-0.442768,0.0014115,0.54245
0.609946,0.785402,-0.444131,0.00149787,0.55294
0.607273,0.767447,-0.443211,0.00178366,0.54923
0.607273,0.767447,-0.443027,0.00175452,0.55187
0.607273,0.767447,-0.440279,0.00154561,0.545645
0.607423,0.781844,-0.443188,0.00158009,0.553175
0.607423,0.781844,-0.446182,0.00156615,0.54704
0.607423,0.781844,-0.44259,0.00159574,0.55728
0.621231,0.777544,-0.441386,0.00187257,0.557895
0.621231,0.777544,-0.441625,0.00176388,0.54774
0.621231,0.777544,-0.441777,0.00166691,0.56005
0.611575,0.793295,-0.443447,0.00163488,0.55579
