sigma,mu,exp_H,error,acceptance
0.62938,0.810791,-0.44313,0.00182049,0.57168
0.62938,0.810791,-0.441971,0.00215575,0.54684
0.62938,0.810791,-0.444085,0.00181388,0.549935
0.62938,0.810791,-0.442645,0.00195884,0.556725
0.62938,0.810791,-0.444184,0.00180486,0.564065
0.62938,0.810791,-0.438961,0.00235296,0.57869
0.62938,0.810791,-0.440768,0.00177689,0.565155
0.62938,0.810791,-0.44454,0.00175495,0.58088
0.634079,0.80024,-0.44493,0.00175064,0.565815
0.634079,0.80024,-0.440494,0.00252255,0.560065
0.608568,0.825202,-0.445863,0.00152078,0.561665
0.608568,0.825202,-0.440483,0.00176902,0.54029
0.608568,0.825202,-0.440266,0.00170595,0.58421
0.629544,0.851459,-0.432999,0.00234867,0.5738
0.629544,0.851459,-0.436331,0.00200118,0.55107
0.629544,0.851459,-0.433202,0.00236265,0.59173
0.629544,0.851459,-0.428525,0.00262546,0.586525
0.63619,0.814528,-0.438064,0.00205074,0.57012
0.63619,0.814528,-0.443815,0.00175243,0.55244
0.63619,0.814528,-0.439495,0.00211459,0.55897
