sigma,mu,exp_H,error,acceptance
0.610247,0.604758,-0.321343,0.00253687,0.64163
0.610247,0.604758,-0.31942,0.00233504,0.244225
0.610247,0.604758,-0.323415,0.00265224,0.318465
0.610247,0.604758,-0.323031,0.00247924,0.053735
0.610247,0.604758,-0.320355,0.00244122,0.615245
0.610247,0.604758,-0.321764,0.00256785,0.551875
0.610247,0.604758,-0.320328,0.00257742,0.02494
0.504161,0.623364,-0.255565,0.00387265,0.468575
0.504161,0.623364,-0.253097,0.00415033,0.68289
0.977299,0.171921,-0.246774,0.00551707,0.461715
0.60608,0.828294,-0.442431,0.0018695,0.55924
0.60608,0.828294,-0.442575,0.00221896,0.31923
0.60608,0.828294,-0.440236,0.00166073,0.745845
0.60608,0.828294,-0.443954,0.00175714,0.344215
0.60608,0.828294,-0.441737,0.00154954,0.592555
0.589692,0.243439,0.20701,0.00613359,0.314575
0.652265,0.904723,-0.383117,0.0042189,0.58369
0.959141,0.161753,-0.248258,0.00505271,0.454655
0.959141,0.161753,-0.245195,0.00501963,0.58543
1.16464,0.0566858,-0.11757,0.0134819,0.51791
