sigma,mu,exp_H,error,acceptance
0.621056,0.792765,-0.443006,0.00171568,0.561735
0.613947,0.772392,-0.44085,0.00167599,0.555015
0.613947,0.772392,-0.441783,0.00156727,0.53515
0.613947,0.772392,-0.444044,0.00137943,0.556215
0.648933,0.794896,-0.442509,0.00208303,0.56903
0.600599,0.751773,-0.436247,0.00166417,0.54221
0.600599,0.751773,-0.436304,0.00189292,0.542015
0.600599,0.751773,-0.43561,0.00172679,0.527705
0.637418,0.773028,-0.440379,0.00159603,0.56014
0.635305,0.737073,-0.431111,0.0015732,0.54725
0.631929,0.784209,-0.441263,0.00197769,0.562385
0.618851,0.795129,-0.444883,0.00156958,0.55951
0.618851,0.795129,-0.445845,0.00168341,0.545115
0.618851,0.795129,-0.444085,0.00166967,0.54108
0.624446,0.779622,-0.44264,0.00160903,0.557655
0.624446,0.779622,-0.440944,0.00206967,0.55504
0.624446,0.779622,-0.442864,0.00160034,0.535585
0.624446,0.779622,-0.442386,0.00173972,0.544915
0.624446,0.779622,-0.444902,0.00138257,0.55911
0.624446,0.779622,-0.44276,0.00162139,0.56006
