sigma,mu,exp_H,error,acceptance
0.70941,0.124594,0.0431783,0.00538981,0.34865
0.98464,0.331122,-0.239189,0.00646945,0.477945
1.14447,0.337895,-0.0826969,0.0136074,0.524975
0.870684,0.416771,-0.261419,0.00497953,0.455575
0.870684,0.416771,-0.255116,0.00534714,0.559965
0.870684,0.416771,-0.260154,0.00473432,0.6094
1.42679,0.0938073,0.68593,0.0318614,0.589515
0.786269,0.423256,-0.232265,0.00403035,0.432445
0.92741,0.377668,-0.260215,0.0045888,0.46713
0.706689,0.215379,-0.00799897,0.00500364,0.36032
1.03745,0.314467,-0.214373,0.00874193,0.494545
0.409305,0.63189,0.119837,0.0100544,0.413005
0.409305,0.63189,0.138117,0.010953,0.644365
0.872766,0.885172,-0.0514947,0.0114124,0.61558
0.872766,0.885172,-0.0391172,0.0114753,0.71492
0.872766,0.885172,-0.0263746,0.0125359,0.108435
0.903524,1.02592,0.396762,0.0177613,0.666995
0.903524,1.02592,0.444311,0.0230281,0.730745
0.449517,0.971126,0.0136733,0.00616687,0.39901
0.790383,0.376881,-0.210928,0.003929,0.421275
