sigma,mu,exp_H,error,acceptance
0.77298,0.761028,-0.339654,0.00572718,0.558635
0.77298,0.761028,-0.339022,0.0045985,0.5875
0.77298,0.761028,-0.325737,0.0053582,0.577425
0.740333,0.8369,-0.349492,0.00464996,0.597035
0.725097,0.797628,-0.377684,0.00443412,0.57888
0.637956,0.810324,-0.439351,0.0024787,0.56787
0.637956,0.810324,-0.441699,0.00201696,0.52958
0.637956,0.810324,-0.439972,0.00242361,0.506855
0.637956,0.810324,-0.439248,0.00234762,0.57362
0.637956,0.810324,-0.439867,0.00208177,0.575615
0.637956,0.810324,-0.441561,0.00189903,0.510095
0.637956,0.810324,-0.438312,0.00231493,0.618875
0.637956,0.810324,-0.440871,0.00198413,0.59793
0.637956,0.810324,-0.441835,0.00199363,0.53294
0.637956,0.810324,-0.436279,0.00248572,0.5038
0.637956,0.810324,-0.443495,0.00219889,0.52948
0.637956,0.810324,-0.438546,0.00237602,0.530755
0.637956,0.810324,-0.439349,0.00249002,0.537375
0.637956,0.810324,-0.438534,0.00204192,0.611025
0.637956,0.810324,-0.442245,0.00193842,0.557825
