sigma,mu,exp_H,error,acceptance
0.633198,0.799257,-0.443364,0.00203048,0.573365
0.628559,0.812516,-0.444253,0.00188753,0.566835
0.628559,0.812516,-0.442405,0.00217996,0.568895
0.634115,0.782783,-0.441898,0.00170382,0.561355
0.634115,0.782783,-0.440651,0.00172041,0.571065
0.610373,0.774716,-0.44229,0.00164571,0.55267
0.610373,0.774716,-0.444512,0.00156747,0.55967
0.616674,0.758352,-0.437829,0.00144946,0.549905
0.616674,0.758352,-0.440962,0.00160069,0.543965
0.593155,0.761773,-0.438979,0.00158866,0.542875
0.593155,0.761773,-0.434645,0.00152733,0.54086
0.593155,0.761773,-0.436791,0.00152808,0.536265
0.593155,0.761773,-0.43721,0.00183495,0.524895
0.593155,0.761773,-0.431278,0.00197605,0.53421
0.610724,0.777635,-0.440974,0.00169709,0.55385
0.612807,0.797973,-0.444454,0.00165841,0.5578
0.612007,0.793315,-0.444933,0.0017306,0.555985
0.612007,0.793315,-0.44154,0.00184227,0.565185
0.590276,0.804294,-0.437736,0.0019588,0.54901
0.614198,0.819087,-0.442757,0.00192463,0.560255
