sigma,mu,exp_H,error,acceptance
0.652503,0.767959,-0.432798,0.00248018,0.56116
0.67479,0.753263,-0.418349,0.00284389,0.55679
0.67479,0.753263,-0.420397,0.00212452,0.54395
0.682208,0.775459,-0.419364,0.00296555,0.568045
0.682208,0.775459,-0.419502,0.00251948,0.57504
0.682208,0.775459,-0.419157,0.00279177,0.56381
0.682208,0.775459,-0.422406,0.00239435,0.570455
0.658151,0.774522,-0.429482,0.00262145,0.564125
0.658151,0.774522,-0.43129,0.00210487,0.55135
0.652959,0.76686,-0.434972,0.00204367,0.559765
0.64496,0.761564,-0.436216,0.00178159,0.557695
0.647295,0.765517,-0.433639,0.00185308,0.561645
0.647295,0.765517,-0.434408,0.00200878,0.55597
0.614552,0.786496,-0.444927,0.00159835,0.55771
0.612272,0.79458,-0.443603,0.00153908,0.556355
0.629565,0.792051,-0.444336,0.00189973,0.56417
0.624491,0.807869,-0.445163,0.00187419,0.564515
0.618956,0.792719,-0.445897,0.00157355,0.55992
0.614087,0.776947,-0.442188,0.00190595,0.55345
0.622617,0.797023,-0.445186,0.00179282,0.56156
