sigma,mu,exp_H,error,acceptance
0.613979,1.02546,-0.226424,0.00426513,0.16854
0.613979,1.02546,-0.22738,0.00435542,0.32051
0.613979,1.02546,-0.236096,0.00437013,0.128285
0.60229,0.500144,-0.172492,0.00384826,0.41151
0.60229,0.500144,-0.170931,0.00340795,0.410135
0.60229,0.500144,-0.179043,0.00340616,0.02036
0.60229,0.500144,-0.173058,0.00380913,0.309
0.60229,0.500144,-0.172788,0.0036326,0.59715
0.829823,0.146042,-0.156155,0.00456249,0.40182
0.766925,0.549698,-0.294951,0.00347555,0.46651
0.491722,0.844162,-0.255628,0.00471276,0.470165
0.491722,0.844162,-0.243991,0.005944,0.56823
0.491722,0.844162,-0.24821,0.00553195,0.19252
0.491722,0.844162,-0.25706,0.00503579,0.024455
0.491722,0.844162,-0.242503,0.0054269,0.53393
0.491722,0.844162,-0.240164,0.00533699,0.02562
0.491722,0.844162,-0.245565,0.00530326,0.554025
0.491722,0.844162,-0.236944,0.00487978,0.264075
0.491722,0.844162,-0.252929,0.00518066,0.650165
0.892699,0.38437,-0.251828,0.00470136,0.45508
