sigma,mu,exp_H,error,acceptance
1,1.5,5.24965,0.0715938,0.7332
1.0185,1.38265,3.79535,0.0530839,0.69087
0.859537,1.09394,0.538371,0.0215974,0.667335
1.24077,0.788955,0.901609,0.040934,0.61563
0.82693,0.33623,-0.213232,0.0041572,0.42624
0.893706,0.353582,-0.246595,0.00458008,0.45473
0.491396,0.0954379,0.715584,0.0110609,0.247565
0.456198,0.0201244,0.974098,0.0108612,0.22451
0.921281,0.10154,-0.227421,0.00403027,0.436005
1.37658,0.512201,0.988539,0.0484742,0.600505
0.88623,0.912623,0.0596039,0.0128516,0.6292
1.22664,0.772853,0.800042,0.0347387,0.610795
1.18378,0.558702,0.235968,0.0199369,0.566115
1.20514,0.656406,0.427498,0.0246282,0.584125
1.20514,0.656406,0.450753,0.0230251,0.626335
1.4625,0.797175,2.52547,0.075805,0.64692
1.4625,0.797175,2.48474,0.0707066,0.72168
1.4625,0.797175,2.56151,0.0736673,0.70504
1.68294,0.390833,3.03314,0.0827716,0.649555
1.68294,0.390833,3.04701,0.109896,0.673075
