sigma,mu,exp_H,error,acceptance
1.68294,0.390833,2.95428,0.0752082,0.75834
1.68294,0.390833,3.10283,0.088723,0.713225
1.68294,0.390833,2.95484,0.0831259,0.787485
1.68294,0.390833,3.00102,0.0943897,0.76655
0.71049,0.401229,-0.156087,0.00372307,0.40161
1.60456,0.509195,2.65853,0.0769215,0.642425
1.60456,0.509195,2.47238,0.0674066,0.73634
1.13349,1.28038,3.5076,0.0627339,0.731995
1.13349,1.28038,3.63738,0.0747742,0.788365
1.13349,1.28038,3.55356,0.0689776,0.736515
1.13349,1.28038,3.54618,0.0634349,0.70745
0.3833,0.824404,0.448377,0.0102918,0.367445
0.3833,0.824404,0.428126,0.0121497,0.210545
0.810817,1.05807,0.249131,0.0177064,0.650745
0.96329,0.168602,-0.240234,0.00544093,0.45566
0.96329,0.168602,-0.242853,0.00494706,0.658325
0.514021,0.592507,-0.23284,0.00365796,0.458315
0.514021,0.592507,-0.2392,0.00387863,0.646065
0.640954,0.973929,-0.308456,0.00450695,0.568015
0.640954,0.973929,-0.30507,0.00418496,0.047635
