sigma,mu,exp_H,error,acceptance
0.64128,0.731849,-0.425246,0.00169578,0.46039
0.64128,0.731849,-0.424016,0.00179659,0.48383
0.64128,0.731849,-0.427165,0.00168137,0.487935
0.667124,0.854705,-0.413704,0.00322644,0.58853
0.667124,0.854705,-0.410676,0.0031292,0.574655
0.667124,0.854705,-0.414818,0.00305835,0.542985
0.689591,0.686106,-0.387859,0.00276616,0.519415
0.689591,0.686106,-0.387088,0.00243434,0.56141
0.689591,0.686106,-0.393173,0.0022934,0.523585
0.573826,0.648763,-0.352288,0.00265399,0.495295
0.658663,0.773994,-0.431904,0.00212351,0.562175
0.658663,0.773994,-0.431272,0.00224595,0.499145
0.66052,0.72265,-0.415995,0.00196305,0.539845
0.66052,0.72265,-0.418047,0.00225382,0.591225
0.632185,0.744422,-0.432281,0.00174894,0.54898
0.632185,0.744422,-0.434035,0.00179318,0.45578
0.632185,0.744422,-0.434575,0.00163412,0.49805
0.670318,0.815272,-0.42579,0.00235765,0.57852
0.670318,0.815272,-0.421198,0.00481892,0.606325
0.656737,0.709302,-0.41305,0.00174744,0.53339
