sigma,mu,exp_H,error,acceptance
0.655889,0.743401,-0.427317,0.0020455,0.55166
0.601877,0.791706,-0.443537,0.00163571,0.552825
0.601877,0.791706,-0.441969,0.00199359,0.531475
0.601877,0.791706,-0.44136,0.00169726,0.589075
0.641556,0.794424,-0.440282,0.00212065,0.56864
0.627259,0.781189,-0.442921,0.0018325,0.5595
0.598603,0.888227,-0.411567,0.00210958,0.55151
0.598603,0.888227,-0.41038,0.00250538,0.59695
0.690647,0.885996,-0.370213,0.0050598,0.599035
0.690647,0.885996,-0.36503,0.00472717,0.595045
0.666312,0.795798,-0.429088,0.00248494,0.574525
0.666312,0.795798,-0.424273,0.00281455,0.54719
0.657594,0.798056,-0.436886,0.0023658,0.57338
0.572291,0.773822,-0.428222,0.00198149,0.53668
0.572291,0.773822,-0.425254,0.0019225,0.49506
0.642144,0.671949,-0.38716,0.00197597,0.511915
0.644006,0.618407,-0.338557,0.00215962,0.4779
0.644006,0.618407,-0.342004,0.00238961,0.460825
0.703496,0.607529,-0.335003,0.00301786,0.479395
0.703496,0.607529,-0.334256,0.00304874,0.45383
