sigma,mu,exp_H,error,acceptance
0.790383,0.376881,-0.207715,0.00414463,0.697475
0.790383,0.376881,-0.199568,0.00403666,0.128195
0.790383,0.376881,-0.205423,0.0039958,0.069515
0.790383,0.376881,-0.199797,0.00420339,0.755605
0.790383,0.376881,-0.211819,0.00406826,0.66285
0.790383,0.376881,-0.207651,0.00390408,0.63907
1.21201,0.264764,0.00394269,0.0147254,0.5413
0.554915,1.1429,0.055343,0.00419393,0.425415
0.379573,0.489436,0.292196,0.00987517,0.365895
0.839417,0.561301,-0.292803,0.00390991,0.484855
0.839417,0.561301,-0.285536,0.00506667,0.68106
0.839417,0.561301,-0.293258,0.00342772,0.22982
0.839417,0.561301,-0.296846,0.00428433,0.77899
0.839417,0.561301,-0.292076,0.00433251,0.756125
0.64039,0.721384,-0.423554,0.00179856,0.53754
0.64039,0.721384,-0.419258,0.00175061,0.57685
0.64039,0.721384,-0.422484,0.00185812,0.6908
0.64039,0.721384,-0.420159,0.00190628,0.692365
0.64039,0.721384,-0.421247,0.00167488,0.03209
0.64039,0.721384,-0.420728,0.001682,0.595485
