sigma,mu,exp_H,error,acceptance
0.621394,0.791418,-0.446771,0.0016203,0.559655
0.621394,0.791418,-0.445673,0.00166201,0.559135
0.621394,0.791418,-0.447209,0.00159856,0.560595
0.621394,0.791418,-0.447532,0.00150212,0.559775
0.621206,0.788851,-0.44457,0.00180612,0.562255
0.621206,0.788851,-0.443875,0.00171741,0.56065
0.618261,0.79093,-0.445008,0.00175086,0.56004
0.614505,0.79069,-0.445837,0.00171378,0.55717
0.614505,0.79069,-0.44725,0.0016238,0.558265
0.614505,0.79069,-0.443386,0.00156027,0.555905
0.610956,0.79197,-0.44414,0.00173176,0.556585
0.615505,0.794339,-0.444504,0.00167366,0.557115
0.619574,0.792653,-0.444179,0.00156542,0.55979
0.619574,0.792653,-0.446983,0.00161823,0.56273
0.621228,0.795478,-0.445526,0.00151476,0.559605
0.620889,0.792145,-0.444803,0.00155376,0.55805
0.620466,0.794629,-0.446348,0.00153795,0.559605
0.620466,0.794629,-0.447852,0.00187412,0.56143
0.620466,0.794629,-0.447786,0.00158817,0.5605
0.616731,0.792755,-0.445518,0.00148062,0.55896
0.616731,0.792755,-0.446432,0.00163731,0.560025
0.619403,0.797135,-0.443947,0.00196767,0.558515
0.619403,0.797135,-0.446105,0.00150037,0.55713
0.619403,0.797135,-0.445885,0.0016729,0.560995
0.619403,0.797135,-0.446473,0.00158118,0.56317
0.619403,0.797135,-0.44508,0.00188961,0.562645
0.615626,0.798764,-0.444738,0.00207767,0.55979
0.615626,0.798764,-0.444928,0.00192167,0.55882
0.6163,0.802351,-0.445219,0.00156755,0.559635
0.620645,0.805862,-0.441611,0.00184444,0.563165
0.616496,0.806211,-0.445523,0.00170865,0.561195
0.616496,0.806211,-0.446155,0.00176642,0.56185
0.61899,0.808932,-0.443821,0.00168608,0.562935
0.616263,0.807476,-0.446703,0.00186327,0.56191
0.611749,0.809982,-0.442484,0.00202864,0.562
0.608738,0.807227,-0.447379,0.00147596,0.556655
0.610074,0.809152,-0.445023,0.00173902,0.55825
0.60694,0.809268,-0.444189,0.00199291,0.556615
0.604157,0.807919,-0.443218,0.00185996,0.55397
0.600128,0.811801,-0.444493,0.00172678,0.5537
