sigma,mu,exp_H,error,acceptance
0.63854,0.783897,-0.438537,0.0026303,0.48381
0.63854,0.783897,-0.438995,0.00217902,0.444095
0.63854,0.783897,-0.439872,0.00189263,0.51928
0.63854,0.783897,-0.441296,0.00202918,0.62986
0.63854,0.783897,-0.443085,0.0019511,0.403995
0.862779,0.830084,-0.157704,0.0105636,0.591965
0.862779,0.830084,-0.149902,0.0110447,0.672225
0.664788,1.00223,-0.243604,0.00585256,0.57703
0.622665,0.876122,-0.41954,0.00260443,0.56875
0.622665,0.876122,-0.421302,0.00286973,0.588855
0.622665,0.876122,-0.419674,0.0024251,0.64602
0.622665,0.876122,-0.41791,0.00300278,0.55889
0.540958,0.864568,-0.364563,0.00276911,0.510955
0.678708,0.73806,-0.414776,0.00229687,0.5483
0.678708,0.73806,-0.411615,0.00284833,0.647435
0.678708,0.73806,-0.415357,0.00221841,0.65569
0.678708,0.73806,-0.413223,0.00286175,0.589775
0.678708,0.73806,-0.412401,0.00268869,0.446555
0.678708,0.73806,-0.414388,0.00280169,0.440245
0.678708,0.73806,-0.412698,0.00239387,0.496065
