sigma,mu,exp_H,error,acceptance
0.608361,0.811948,-0.444349,0.00216429,0.55714
0.608361,0.811948,-0.441786,0.0020183,0.556235
0.608361,0.811948,-0.442614,0.00205938,0.556785
0.604372,0.811652,-0.44231,0.00183292,0.55301
0.607335,0.81311,-0.443329,0.00168549,0.558245
0.607335,0.81311,-0.44375,0.00191686,0.560195
0.607335,0.81311,-0.444193,0.00172237,0.560635
0.607945,0.81269,-0.441223,0.00196978,0.55919
0.611577,0.815189,-0.445507,0.00162817,0.559495
0.614699,0.815037,-0.4465,0.00175761,0.561985
0.614699,0.815037,-0.444588,0.0017826,0.558735
0.610524,0.813679,-0.443473,0.0016463,0.560515
0.606603,0.815223,-0.445645,0.00184304,0.5571
0.606448,0.813896,-0.442916,0.00180067,0.557195
0.606448,0.813896,-0.444932,0.00183111,0.55879
0.606448,0.813896,-0.443454,0.00185268,0.55703
0.606448,0.813896,-0.444828,0.00192336,0.556105
0.602725,0.815608,-0.44563,0.00170913,0.556135
0.60129,0.814883,-0.445694,0.00164651,0.55244
0.60461,0.811123,-0.444589,0.00180333,0.55406
0.60461,0.811123,-0.446421,0.00152284,0.55553
0.601282,0.807899,-0.444457,0.0014683,0.55372
0.601282,0.807899,-0.442312,0.00155271,0.553695
0.597923,0.803483,-0.442142,0.00166139,0.55145
0.597923,0.803483,-0.442734,0.0018205,0.55294
0.597923,0.803483,-0.441632,0.0017488,0.551515
0.597923,0.803483,-0.442142,0.00193604,0.55206
0.597923,0.803483,-0.442945,0.00160127,0.553695
0.598121,0.803205,-0.442942,0.00190083,0.55405
0.598121,0.803205,-0.443453,0.00165041,0.55086
0.598121,0.803205,-0.443437,0.00158226,0.550965
0.598121,0.803205,-0.440927,0.00151692,0.55215
0.598389,0.804106,-0.444796,0.00188164,0.55487
0.60293,0.805585,-0.441667,0.00190702,0.55251
0.60293,0.805585,-0.444118,0.001728,0.55842
0.60293,0.805585,-0.444031,0.00158554,0.555315
0.60293,0.805585,-0.441895,0.00189928,0.555995
0.60293,0.805585,-0.443684,0.00181745,0.55267
0.60293,0.805585,-0.446024,0.00170009,0.554065
0.60293,0.805585,-0.446332,0.00167429,0.554965
