#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.945057    0.945057           0
           2    0.896882     0.92097   0.0170324
           3    0.890822    0.910921   0.0140093
           4    0.895894    0.907164   0.0109991
           5    0.908138    0.907359    0.008801
           6     0.86375    0.900091  0.00988996
           7    0.894329    0.899267  0.00851129
           8    0.869175    0.895506  0.00823675
           9     0.90935    0.897044  0.00746381
          10    0.904607      0.8978  0.00675563
          11    0.876228    0.895839  0.00641982
          12    0.851035    0.892106  0.00688549
          13     0.93524    0.895424  0.00711051
          14    0.889218     0.89498  0.00661641
          15    0.887836    0.894504  0.00619244
          16    0.901864    0.894964  0.00582247
          17    0.893468    0.894876  0.00548064
          18    0.890675    0.894643  0.00518112
          19    0.839154    0.891722  0.00567213
          20    0.874612    0.890867  0.00545265
