#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.662887    0.662887           0
           2    0.645754     0.65432   0.0060575
           3    0.663738    0.657459  0.00478305
           4    0.673459    0.661459  0.00498677
           5    0.658652    0.660898  0.00402089
           6    0.719755    0.670707  0.00956124
           7    0.695053    0.674185  0.00880521
           8    0.677093    0.674549  0.00771206
           9    0.635282    0.670186   0.0079946
          10    0.614678    0.664635  0.00891626
          11    0.684244    0.666418  0.00828198
          12    0.658325    0.665743  0.00761923
          13    0.674982    0.666454   0.0070662
          14    0.682359     0.66759  0.00665217
          15    0.683005    0.668618  0.00628757
          16     0.66441    0.668355   0.0059001
          17    0.668711    0.668376  0.00555307
          18    0.620907    0.665739  0.00583727
          19    0.640784    0.664425  0.00567588
          20    0.687277    0.665568  0.00550589
