#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.320721    0.320721           0
           2    0.317306    0.319013  0.00120742
           3    0.319443    0.319157 0.000813389
           4    0.319871    0.319335 0.000629348
           5    0.317221    0.318912 0.000629657
           6    0.318413    0.318829  0.00053019
           7    0.319284    0.318894 0.000458416
           8    0.316102    0.318545 0.000517162
           9    0.317127    0.318388  0.00048311
          10    0.316637    0.318213 0.000465436
          11    0.316389    0.318047 0.000451688
          12    0.317191    0.317975 0.000419641
          13    0.317823    0.317964 0.000387525
          14    0.318313    0.317989 0.000360646
          15    0.317692    0.317969 0.000337144
          16    0.318225    0.317985 0.000316453
          17    0.320642    0.318141 0.000334207
          18    0.320457     0.31827 0.000339492
          19    0.320075    0.318365  0.00033465
          20    0.319115    0.318402 0.000320014
