#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.99573     2.99573           0
           2     3.07863     3.03718   0.0293104
           3     3.01166     3.02867   0.0207379
           4     2.97382     3.01496   0.0195687
           5     2.98657     3.00928   0.0164582
           6     3.01668     3.01052   0.0137613
           7     2.99598     3.00844    0.011951
           8     3.01178     3.00886   0.0104644
           9     3.04006     3.01232  0.00985941
          10     3.02539     3.01363  0.00895967
          11     2.94118     3.00705   0.0102848
          12     2.95854       3.003   0.0101913
          13     3.04683     3.00637  0.00994938
          14     2.94094      3.0017   0.0102782
          15     2.97792     3.00011  0.00971444
          16     3.01612     3.00112  0.00915866
          17     2.96218     2.99883  0.00890165
          18     2.98233     2.99791  0.00845415
          19     3.05271     3.00079  0.00848687
          20     2.98401     2.99995  0.00810392
