#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613438   -0.613438           0
           2    -0.61379   -0.613614 0.000124451
           3   -0.613818   -0.613682  9.9831e-05
           4   -0.613553   -0.613649 7.98976e-05
           5   -0.613934   -0.613706 8.17602e-05
           6   -0.613518   -0.613675 7.39412e-05
           7   -0.612738   -0.613541 0.000139139
           8    -0.61486   -0.613706 0.000196476
           9   -0.613642   -0.613699 0.000174776
          10   -0.613453   -0.613674  0.00015902
          11   -0.612378   -0.613556 0.000183113
          12   -0.613005    -0.61351 0.000173527
          13   -0.613876   -0.613539 0.000162441
          14   -0.611966   -0.613426 0.000185638
          15   -0.613042   -0.613401 0.000175024
          16   -0.614054   -0.613441 0.000168777
          17    -0.61193   -0.613353 0.000180744
          18   -0.613563   -0.613364 0.000171081
          19   -0.613748   -0.613384 0.000163265
          20   -0.613663   -0.613398 0.000155695
