#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847558   -0.847558           0
           2   -0.846372   -0.846965 0.000419456
           3   -0.849091   -0.847674 0.000642653
           4    -0.84823   -0.847813 0.000496822
           5   -0.848538   -0.847958  0.00041806
           6    -0.84819   -0.847997 0.000350174
           7   -0.847744   -0.847961 0.000302004
           8   -0.846063   -0.847723 0.000345035
           9    -0.84797   -0.847751  0.00030778
          10   -0.848311   -0.847807 0.000282058
          11   -0.850219   -0.848026 0.000330868
          12   -0.849161   -0.848121 0.000316519
          13   -0.847755   -0.848093 0.000293417
          14   -0.848179   -0.848099 0.000272524
          15   -0.847806   -0.848079 0.000255052
          16   -0.848763   -0.848122 0.000242667
          17   -0.848137   -0.848123 0.000228394
          18   -0.848628   -0.848151 0.000217423
          19   -0.847894   -0.848137 0.000206401
          20   -0.848146   -0.848138 0.000196081
