#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.4669     15.4669           0
           2     14.6245     15.0457    0.297828
           3     15.5906     15.2273     0.24783
           4     15.2869     15.2422    0.186319
           5     15.7899     15.3517     0.17837
           6     15.0856     15.3074    0.154059
           7     15.2737     15.3026    0.132126
           8     14.7537      15.234    0.132226
           9     14.7176     15.1766    0.129383
          10     15.2523     15.1842    0.116666
          11     15.6418     15.2258    0.113234
          12     15.0006      15.207    0.105341
          13     15.2266     15.2085   0.0972487
          14      15.404     15.2225   0.0912989
          15     14.7133     15.1885   0.0913048
          16     15.0907     15.1824   0.0858027
          17     15.6518       15.21   0.0850823
          18     15.1923      15.209   0.0803612
          19     14.9481     15.1953   0.0772965
          20     15.4052     15.2058    0.074141
