#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.453737    0.453737           0
           2    0.441613    0.447675  0.00428642
           3    0.438013    0.444454  0.00388341
           4    0.435828    0.442298  0.00345994
           5    0.447605    0.443359  0.00292627
           6    0.441979    0.443129  0.00244758
           7    0.433905    0.441811  0.00242688
           8    0.438433    0.441389  0.00215995
           9    0.430278    0.440155  0.00224523
          10    0.453168    0.441456  0.00236802
          11    0.444401    0.441724  0.00216783
          12    0.426489    0.440454  0.00232946
          13    0.442541    0.440615   0.0021558
          14    0.439123    0.440508  0.00200444
          15    0.440239     0.44049  0.00187089
          16     0.44072    0.440505  0.00175402
          17    0.441393    0.440557  0.00165162
          18    0.437779    0.440403  0.00156705
          19    0.437537    0.440252  0.00149181
          20    0.450766    0.440777  0.00150702
