#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     44.4864     44.4864           0
           2      44.204     44.3452   0.0998482
           3     46.3367      45.009    0.546079
           4     42.2976     44.3312    0.715797
           5     44.6986     44.4047    0.576396
           6      40.188     43.7019     0.80143
           7     44.8956     43.8724     0.70485
           8     44.4661     43.9466    0.620638
           9     40.0187     43.5102    0.688231
          10     44.1909     43.5783    0.622765
          11      42.358     43.4673    0.575946
          12     43.3277     43.4557    0.528068
          13     43.5974     43.4666    0.487559
          14     43.5781     43.4746    0.452799
          15     42.9048     43.4366    0.424203
          16     44.3573     43.4941    0.401575
          17     44.4294     43.5491    0.381702
          18      46.538     43.7152    0.394966
          19     42.6775     43.6606    0.377935
          20     43.3632     43.6457    0.359331
