#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426054    0.426054           0
           2    0.425506     0.42578 0.000193618
           3    0.419583    0.423714   0.0016915
           4    0.443907    0.428762  0.00455212
           5    0.421429    0.427296  0.00387077
           6    0.406372    0.423808  0.00453198
           7    0.420231    0.423297  0.00391326
           8     0.42794    0.423878  0.00346687
           9    0.405943    0.421885   0.0036092
          10    0.419943    0.421691   0.0032535
          11    0.419057    0.421451  0.00296653
          12    0.437441    0.422784   0.0030037
          13    0.421553    0.422689  0.00277414
          14    0.416552    0.422251   0.0026104
          15    0.432406    0.422928  0.00252264
          16    0.435386    0.423706  0.00248224
          17    0.413093    0.423082  0.00241345
          18    0.420811    0.422956  0.00228267
          19    0.440944    0.423903  0.00235066
          20    0.413223    0.423369  0.00229298
