#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.935194   -0.935194           0
           2   -0.935425   -0.935309 8.17415e-05
           3   -0.938026   -0.936215 0.000741316
           4    -0.93202   -0.935166  0.00106485
           5   -0.935657   -0.935264  0.00085639
           6   -0.930323   -0.934441  0.00103654
           7   -0.935774   -0.934631 0.000905809
           8    -0.93565   -0.934759 0.000801478
           9   -0.931054   -0.934347 0.000811244
          10   -0.936029   -0.934515  0.00074735
          11    -0.93293   -0.934371 0.000693169
          12   -0.933719   -0.934317  0.00063753
          13   -0.934174   -0.934306 0.000588583
          14   -0.934149   -0.934295 0.000546648
          15   -0.933636   -0.934251 0.000511965
          16   -0.935052   -0.934301 0.000482411
          17   -0.935217   -0.934355 0.000457033
          18    -0.93791   -0.934552 0.000472393
          19   -0.931795   -0.934407 0.000469285
          20   -0.934884   -0.934431 0.000446427
