#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0272872   0.0272872           0
           2   0.0253852   0.0263362 0.000672459
           3   0.0297752   0.0274825   0.0010378
           4   0.0261388   0.0271466 0.000830944
           5    0.029984   0.0277141 0.000836377
           6   0.0266216    0.027532 0.000716526
           7   0.0276964   0.0275555  0.00061455
           8   0.0328056   0.0282117  0.00081609
           9    0.028144   0.0282042 0.000725448
          10   0.0258444   0.0279682 0.000690218
          11   0.0235336   0.0275651 0.000735849
          12   0.0262584   0.0274562 0.000682538
          13    0.025518   0.0273071 0.000646113
          14   0.0290468   0.0274314 0.000611795
          15   0.0270284   0.0274045 0.000571598
          16   0.0254476   0.0272822 0.000548803
          17   0.0266228   0.0272434 0.000517889
          18   0.0282688   0.0273004 0.000492241
          19   0.0286492   0.0273714 0.000471424
          20   0.0252704   0.0272663 0.000459408
