#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.861806    0.861806           0
           2    0.911292    0.886549   0.0174959
           3    0.830292    0.867796   0.0192479
           4    0.862994    0.866596   0.0144733
           5    0.898781    0.873033   0.0129311
           6     0.87619    0.873559   0.0107866
           7     0.92217    0.880503   0.0112614
           8    0.923361    0.885861   0.0110548
           9    0.932127    0.891001   0.0109567
          10    0.905236    0.892425   0.0099531
          11    0.894249    0.892591  0.00904966
          12     0.87093    0.890786  0.00847362
          13     0.73813    0.879043   0.0137282
          14    0.893518    0.880077   0.0127865
          15    0.920366    0.882763   0.0122129
          16    0.904589    0.884127   0.0115256
          17    0.900159     0.88507   0.0108861
          18     0.91761    0.886878   0.0104304
          19    0.922696    0.888763   0.0100503
          20    0.948186    0.891734  0.00997732
